"Question","Notes","Link to process or procedure","Link to Policy"
"ID.AM-01.01: There is a documented process or procedure in place to support, ""Inventories of hardware managed by the organization are maintained.""","We have a policy, but we may not have a process or procedure","","[Google Doc]"
"ID.AM-02.01: There is a documented process or procedure in place to support, ""Inventories of software, services, and systems managed by the organization are maintained.""","","",""
"ID.AM-03: Representations of the organization's authorized network communication and internal and external network data flows are maintained. A necessary (but not sufficient) requirement to choose Tier 2 is a *a diagram or flowchart illustrating how communication and data is designed to travel throughout internal systems your unit manages, and externally to systems managed by third parties.*","","",""
"ID.AM-08.01: There is a documented process or procedure in place to support, ""Systems, hardware, software, services, and data are managed throughout their life cycles.""","","",""
"ID.RA-01.01: There is a documented process or procedure in place to support, ""Vulnerabilities in assets are identified, validated, and recorded.""","","",""
"ID.RA-02.01: There is a documented process or procedure in place to support, ""Cyber threat intelligence is received from information sharing forums and sources.""","We have a policy, but we may not have a process or procedure","","[Google Doc]"
"ID.RA-03.01: There is a documented process or procedure in place to support, ""Internal and external threats to the organization are identified and recorded.""","We have a policy, but we may not have a process or procedure","","[Google Doc]"
"ID.RA-04.01: There is a documented process or procedure in place to support, ""Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded.""","We have a policy, but we may not have a process or procedure","","[Google Doc]"
"ID.RA-05.01: There is a documented process or procedure in place to support, ""Threats, vulnerabilities, likelihoods, and impacts are used to understand inherent risk and inform risk response prioritization.""","We have a policy, but we may not have a process or procedure","","[Google Doc]"
"ID.RA-06.01: There is a documented process or procedure in place to support, ""Risk responses are chosen, prioritized, planned, tracked, and communicated.""","We have a policy, but we may not have a process or procedure","","[Google Doc]"
"ID.RA-07.01: There is a documented process or procedure in place to support, ""Changes and exceptions are managed, assessed for risk impact, recorded, and tracked.""","","",""
"ID.RA-08.01: There is a documented process or procedure in place to support, ""Processes for receiving, analyzing, and responding to vulnerability disclosures are established.""","","",""
